# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
600000 200
107 7.455 0.894632 1.3291 0.943294 62.1701 0.991522 61.0146
108 7.525 0.960037 1.36365 0.933826 63.9035 0.982461 62.8364
109 7.595 0.911053 1.39705 0.931474 65.6648 0.972092 64.6727
110 7.665 0.940017 1.43215 0.918913 67.4346 0.963811 66.527
111 7.735 0.987512 1.4697 0.920686 69.2403 0.956308 68.4007
112 7.805 0.913055 1.50505 0.919895 71.0773 0.949741 70.2953
113 7.875 0.919729 1.5413 0.917756 72.943 0.942768 72.2099
114 7.945 0.903594 1.57755 0.916625 74.8397 0.938604 74.1501
115 8.015 0.912373 1.6148 0.916877 76.7705 0.935395 76.1179
116 8.085 0.889422 1.65175 0.912561 78.726 0.931471 78.1118
117 8.155 0.913256 1.69035 0.91578 80.7224 0.930732 80.1388
118 8.225 0.955924 1.73145 0.91479 82.7511 0.929057 82.197
119 8.295 0.863252 1.7692 0.919278 84.8245 0.927468 84.2868
120 8.365 0.927568 1.81045 0.921407 86.9381 0.926454 86.4097
121 8.435 0.950937 1.85345 0.93366 89.1156 0.926611 88.5687
122 8.505 0.880968 1.89395 0.92757 91.3151 0.926853 90.7642
123 8.575 0.905161 1.93625 0.941103 93.5835 0.929186 93.0016
124 8.645 0.891614 1.9786 0.942129 95.8917 0.930084 95.2779
125 8.715 0.923961 2.0232 0.952128 98.2622 0.932306 97.5967
126 8.785 0.996963 2.0721 0.956226 100.681 0.934258 99.9579
127 8.855 0.997317 2.1218 0.968401 103.17 0.938835 102.369
128 8.925 0.88198 2.16645 0.971002 105.706 0.940511 104.822
129 8.995 0.990822 2.2174 0.976779 108.297 0.945045 107.326
130 9.065 1.01579 2.27045 0.984731 110.949 0.949466 109.881
131 9.135 0.987083 2.3228 0.991777 113.662 0.954493 112.489
132 9.205 1.00555 2.37695 0.994698 116.425 0.958237 115.148
133 9.275 0.948364 2.4288 0.999528 119.244 0.962827 117.86
134 9.345 1.03691 2.48635 1.00866 122.131 0.967042 120.626
135 9.415 0.989597 2.5421 1.00876 125.062 0.972423 123.449
136 9.485 1.0004 2.5993 1.01496 128.056 0.977937 126.33
137 9.555 0.971151 2.65565 1.01626 131.097 0.98354 129.27
138 9.625 0.962172 2.7123 1.02216 134.201 0.986793 132.264
139 9.695 0.975112 2.77055 1.0287 137.371 0.991582 135.316
140 9.765 1.02389 2.8326 1.02856 140.586 0.997004 138.429
141 9.835 1.01668 2.8951 1.03652 143.873 1.00013 141.597
142 9.905 0.96708 2.9554 1.0389 147.214 1.0049 144.826
143 9.975 0.970159 3.01675 1.03559 150.592 1.00891 148.113
144 10.045 1.00737 3.08135 1.04605 154.051 1.01152 151.456
145 10.115 0.985781 3.14545 1.05005 157.573 1.01686 154.863
146 10.185 1.01323 3.21225 1.04349 161.122 1.02056 158.33
147 10.255 1.00393 3.27935 1.04315 164.718 1.02352 161.854
148 10.325 0.982251 3.3459 1.04303 168.363 1.02557 165.435
149 10.395 0.98654 3.41365 1.04789 172.074 1.02757 169.071
150 10.465 0.964048 3.48075 1.04631 175.831 1.03184 172.771
151 10.535 1.03067 3.55345 1.04259 179.624 1.0326 176.524
152 10.605 0.968842 3.6227 1.04506 183.477 1.03563 180.338
153 10.675 0.999671 3.6951 1.04424 187.378 1.03522 184.202
154 10.745 1.00986 3.7692 1.03745 191.304 1.03623 188.119
155 10.815 0.966559 3.84105 1.03913 195.288 1.0373 192.093
156 10.885 1.00662 3.91685 1.03777 199.319 1.03803 196.12
157 10.955 1.00757 3.9937 1.03744 203.4 1.03744 200.197
158 11.025 0.992224 4.07035 1.02964 207.503 1.03711 204.326
159 11.095 0.972713 4.14645 1.03056 211.661 1.03587 208.501
160 11.165 0.966234 4.223 1.03062 215.873 1.03514 212.727
161 11.235 0.919951 4.2968 1.0262 220.119 1.03452 217.003
162 11.305 0.89382 4.3694 1.02552 224.415 1.03405 221.331
163 11.375 0.960072 4.44835 1.01971 228.741 1.03117 225.7
164 11.445 0.899114 4.5232 1.02003 233.12 1.03059 230.121
165 11.515 0.924409 4.6011 1.01591 237.536 1.02886 234.588
166 11.585 0.893928 4.67735 1.01119 241.985 1.02631 239.099
167 11.655 0.949247 4.7593 1.00544 246.462 1.02458 243.657
168 11.725 0.964271 4.84355 1.00692 251 1.02196 248.257
169 11.795 0.900268 4.92315 1.00246 255.572 1.01911 252.9
170 11.865 0.913707 5.0049 1.00247 260.198 1.01705 257.589
171 11.935 0.935054 5.08955 0.996838 264.852 1.01539 262.325
172 12.005 0.898525 5.17185 0.998931 269.572 1.01201 267.102
173 12.075 0.896771 5.25495 0.99764 274.34 1.00864 271.918
174 12.145 0.912599 5.3405 0.990945 279.131 1.00771 276.785
175 12.215 0.937496 5.4294 0.99063 283.977 1.00569 281.699
176 12.285 0.913811 5.51705 0.993745 288.893 1.00291 286.656
177 12.355 0.930286 5.6073 0.992134 293.857 1.00095 291.659
178 12.425 0.938689 5.6994 0.986292 298.849 0.998749 296.708
179 12.495 0.929713 5.79165 0.988954 303.91 0.996134 301.801
180 12.565 0.910413 5.883 0.980227 308.983 0.994611 306.944
181 12.635 0.920065 5.97635 0.987874 314.153 0.992946 312.134
182 12.705 0.914829 6.0702 0.984852 319.364 0.990001 317.368
183 12.775 0.898082 6.16335 0.982135 324.618 0.988705 322.652
184 12.845 0.931234 6.261 0.980991 329.924 0.986375 327.981
185 12.915 0.934374 6.36005 0.986837 335.32 0.98595 333.366
186 12.985 0.916861 6.4583 0.98752 340.778 0.984055 338.8
187 13.055 0.929212 6.55895 0.982852 346.269 0.98347 344.289
188 13.125 0.938508 6.6617 0.982286 351.816 0.982536 349.832
189 13.195 0.910503 6.76245 0.983719 357.431 0.981813 355.429
190 13.265 0.900471 6.86315 0.986379 363.12 0.981506 361.085
191 13.335 0.946346 6.9701 0.987601 368.877 0.981195 366.799
192 13.405 0.948747 7.07845 0.986519 374.688 0.980887 372.571
193 13.475 0.917685 7.18435 0.987292 380.565 0.980496 378.401
194 13.545 0.948961 7.295 0.991684 386.529 0.980281 384.29
195 13.615 0.896363 7.4006 0.990708 392.549 0.981094 390.246
